Message,Label
"Congratulations! You won a free lottery ticket. Claim now","spam"
"Win cash prize now! Click this link","spam"
"URGENT! You have won $1000. Call now","spam"
"Get free entry into our weekly competition","spam"
"Claim your free gift card today","spam"
"Exclusive offer! Buy now and get 50% discount","spam"
"You have been selected for a free vacation","spam"
"Free mobile recharge available. Claim now","spam"
"Congratulations! You are our lucky winner","spam"
"Earn money from home. Apply now","spam"
"Meeting is scheduled at 10 AM tomorrow","ham"
"Please bring your project report to class","ham"
"Can you send me the notes from today's lecture","ham"
"I will call you after reaching home","ham"
"Are you coming to college tomorrow","ham"
"Please submit the assignment before Friday","ham"
"Let's meet for lunch at 1 PM","ham"
"Your interview has been scheduled for Monday","ham"
"Don't forget to bring your laptop","ham"
"Can you help me with the Python program","ham"
